
hehe a perdu avec 11 erreurs. | mot : feuille
hehe a perdu avec 11 erreurs. | mot : prophetie
hehe a gagné avec 10 erreurs. | mot : ballon
hehe a perdu avec 11 erreurs. | mot : guitare
hehe a perdu avec 11 erreurs. | mot : tresor
